TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Horseshoe_TP9,Horseshoe_AF7,Horseshoe_AF8,Horseshoe_TP10,Marker
1771838828800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/music/start [Subduction.mp3]
1771838828882,0.18606097,0.12520424,0.19281046,0.51257426,0.16517338,0.18321538,0.12848535,0.1245969,0.48700956,0.40975952,0.26849663,0.17123362,0.11947828,0.17169386,0.28447717,0.079381846,0.04227782,0.11012702,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829029,0.18606097,0.12520424,0.19281046,0.51257426,0.16517338,0.18321538,0.12848535,0.1245969,0.44907713,0.40397677,0.26849663,0.17123362,0.11947828,0.17169386,0.28447717,0.079381846,0.04227782,0.11012702,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829029,0.18606097,0.12520424,0.19281046,0.51257426,0.16517338,0.18321538,0.12848535,0.1245969,0.44907713,0.40397677,0.26849663,0.17123362,0.11459907,0.1831326,0.28447717,0.079381846,0.04227782,0.11012702,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829030,0.23214024,0.111365266,0.19281046,0.51257426,0.16517338,0.18321538,0.12848535,0.1245969,0.44907713,0.40397677,0.26849663,0.17123362,0.11459907,0.1831326,0.28447717,0.079381846,0.04227782,0.11012702,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829031,0.23214024,0.111365266,0.19281046,0.51257426,0.16304955,0.19213314,0.12848535,0.1245969,0.44907713,0.40397677,0.26849663,0.17123362,0.11459907,0.1831326,0.28447717,0.079381846,0.04227782,0.11012702,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829031,0.23214024,0.111365266,0.19281046,0.51257426,0.16304955,0.19213314,0.12848535,0.1245969,0.44907713,0.40397677,0.26849663,0.17123362,0.11459907,0.1831326,0.28447717,0.079381846,0.041134007,0.10939222,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829096,0.23214024,0.111365266,0.19281046,0.51257426,0.16304955,0.19213314,0.12848535,0.1245969,0.41819784,0.41003734,0.26849663,0.17123362,0.11459907,0.1831326,0.28447717,0.079381846,0.041134007,0.10939222,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829097,0.23214024,0.111365266,0.19281046,0.51257426,0.16304955,0.19213314,0.12848535,0.1245969,0.41819784,0.41003734,0.26849663,0.17123362,0.11084284,0.1924914,0.28447717,0.079381846,0.041134007,0.10939222,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829098,0.26838145,0.09610375,0.19281046,0.51257426,0.16304955,0.19213314,0.12848535,0.1245969,0.41819784,0.41003734,0.26849663,0.17123362,0.11084284,0.1924914,0.28447717,0.079381846,0.041134007,0.10939222,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838829098,0.26838145,0.09610375,0.19281046,0.51257426,0.16192354,0.19611204,0.12848535,0.1245969,0.41819784,0.41003734,0.26849663,0.17123362,0.11084284,0.1924914,0.28447717,0.079381846,0.041134007,0.10939222,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
