TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Horseshoe_TP9,Horseshoe_AF7,Horseshoe_AF8,Horseshoe_TP10,Marker
1771838972828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/music/start [Пьяные драконы.mp3]
1771838972913,0.21890812,0.35546502,0.19281046,0.35054088,0.18527737,0.17717582,0.12848535,0.30409798,0.4845419,0.26217034,0.26849663,0.199533,0.08093552,0.13540658,0.28447717,0.047195204,0.0303371,0.06978222,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838972999,0.21890812,0.35546502,0.19281046,0.35054088,0.18527737,0.17717582,0.12848535,0.30409798,0.48856178,0.26150852,0.26849663,0.199533,0.08093552,0.13540658,0.28447717,0.047195204,0.0303371,0.06978222,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973000,0.21890812,0.35546502,0.19281046,0.35054088,0.18527737,0.17717582,0.12848535,0.30409798,0.48856178,0.26150852,0.26849663,0.199533,0.07769859,0.1363404,0.28447717,0.047195204,0.0303371,0.06978222,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973001,0.22078551,0.35764667,0.19281046,0.35054088,0.18527737,0.17717582,0.12848535,0.30409798,0.48856178,0.26150852,0.26849663,0.199533,0.07769859,0.1363404,0.28447717,0.047195204,0.0303371,0.06978222,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973002,0.22078551,0.35764667,0.19281046,0.35054088,0.1827119,0.17814057,0.12848535,0.30409798,0.48856178,0.26150852,0.26849663,0.199533,0.07769859,0.1363404,0.28447717,0.047195204,0.0303371,0.06978222,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973003,0.22078551,0.35764667,0.19281046,0.35054088,0.1827119,0.17814057,0.12848535,0.30409798,0.48856178,0.26150852,0.26849663,0.199533,0.07769859,0.1363404,0.28447717,0.047195204,0.030242236,0.06636385,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973089,0.22078551,0.35764667,0.19281046,0.35054088,0.1827119,0.17814057,0.12848535,0.30409798,0.49478638,0.25849843,0.26849663,0.199533,0.07769859,0.1363404,0.28447717,0.047195204,0.030242236,0.06636385,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973090,0.22078551,0.35764667,0.19281046,0.35054088,0.1827119,0.17814057,0.12848535,0.30409798,0.49478638,0.25849843,0.26849663,0.199533,0.0752304,0.1354169,0.28447717,0.047195204,0.030242236,0.06636385,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973091,0.22258657,0.36458278,0.19281046,0.35054088,0.1827119,0.17814057,0.12848535,0.30409798,0.49478638,0.25849843,0.26849663,0.199533,0.0752304,0.1354169,0.28447717,0.047195204,0.030242236,0.06636385,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973092,0.22258657,0.36458278,0.19281046,0.35054088,0.17608947,0.1788322,0.12848535,0.30409798,0.49478638,0.25849843,0.26849663,0.199533,0.0752304,0.1354169,0.28447717,0.047195204,0.030242236,0.06636385,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973093,0.22258657,0.36458278,0.19281046,0.35054088,0.17608947,0.1788322,0.12848535,0.30409798,0.49478638,0.25849843,0.26849663,0.199533,0.0752304,0.1354169,0.28447717,0.047195204,0.031307176,0.0626697,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973179,0.22258657,0.36458278,0.19281046,0.35054088,0.17608947,0.1788322,0.12848535,0.30409798,0.49342358,0.2555423,0.26849663,0.199533,0.0752304,0.1354169,0.28447717,0.047195204,0.031307176,0.0626697,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973180,0.22258657,0.36458278,0.19281046,0.35054088,0.17608947,0.1788322,0.12848535,0.30409798,0.49342358,0.2555423,0.26849663,0.199533,0.074601404,0.13355435,0.28447717,0.047195204,0.031307176,0.0626697,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973181,0.22924855,0.36980513,0.19281046,0.35054088,0.17608947,0.1788322,0.12848535,0.30409798,0.49342358,0.2555423,0.26849663,0.199533,0.074601404,0.13355435,0.28447717,0.047195204,0.031307176,0.0626697,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973182,0.22924855,0.36980513,0.19281046,0.35054088,0.16911153,0.18039188,0.12848535,0.30409798,0.49342358,0.2555423,0.26849663,0.199533,0.074601404,0.13355435,0.28447717,0.047195204,0.031307176,0.0626697,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973183,0.22924855,0.36980513,0.19281046,0.35054088,0.16911153,0.18039188,0.12848535,0.30409798,0.49342358,0.2555423,0.26849663,0.199533,0.074601404,0.13355435,0.28447717,0.047195204,0.03361493,0.060706306,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973291,0.22924855,0.36980513,0.19281046,0.35054088,0.16911153,0.18039188,0.12848535,0.30409798,0.47048223,0.26123565,0.26849663,0.199533,0.074601404,0.13355435,0.28447717,0.047195204,0.03361493,0.060706306,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973292,0.22924855,0.36980513,0.19281046,0.35054088,0.16911153,0.18039188,0.12848535,0.30409798,0.47048223,0.26123565,0.26849663,0.199533,0.078003004,0.1306075,0.28447717,0.047195204,0.03361493,0.060706306,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973293,0.24525969,0.36648947,0.19281046,0.35054088,0.16911153,0.18039188,0.12848535,0.30409798,0.47048223,0.26123565,0.26849663,0.199533,0.078003004,0.1306075,0.28447717,0.047195204,0.03361493,0.060706306,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973294,0.24525969,0.36648947,0.19281046,0.35054088,0.16931358,0.18069418,0.12848535,0.30409798,0.47048223,0.26123565,0.26849663,0.199533,0.078003004,0.1306075,0.28447717,0.047195204,0.03361493,0.060706306,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973295,0.24525969,0.36648947,0.19281046,0.35054088,0.16931358,0.18069418,0.12848535,0.30409798,0.47048223,0.26123565,0.26849663,0.199533,0.078003004,0.1306075,0.28447717,0.047195204,0.03694151,0.06097321,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973427,0.24525969,0.36648947,0.19281046,0.35054088,0.16931358,0.18069418,0.12848535,0.30409798,0.43628454,0.27317756,0.26849663,0.199533,0.078003004,0.1306075,0.28447717,0.047195204,0.03694151,0.06097321,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973431,0.24525969,0.36648947,0.19281046,0.35054088,0.16931358,0.18069418,0.12848535,0.30409798,0.43628454,0.27317756,0.26849663,0.199533,0.08351635,0.12778765,0.28447717,0.047195204,0.03694151,0.06097321,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973433,0.26518148,0.357077,0.19281046,0.35054088,0.16931358,0.18069418,0.12848535,0.30409798,0.43628454,0.27317756,0.26849663,0.199533,0.08351635,0.12778765,0.28447717,0.047195204,0.03694151,0.06097321,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973436,0.26518148,0.357077,0.19281046,0.35054088,0.17516188,0.17867032,0.12848535,0.30409798,0.43628454,0.27317756,0.26849663,0.199533,0.08351635,0.12778765,0.28447717,0.047195204,0.03694151,0.06097321,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973438,0.26518148,0.357077,0.19281046,0.35054088,0.17516188,0.17867032,0.12848535,0.30409798,0.43628454,0.27317756,0.26849663,0.199533,0.08351635,0.12778765,0.28447717,0.047195204,0.039855734,0.06328747,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973528,0.26518148,0.357077,0.19281046,0.35054088,0.17516188,0.17867032,0.12848535,0.30409798,0.39852896,0.27996942,0.26849663,0.199533,0.08351635,0.12778765,0.28447717,0.047195204,0.039855734,0.06328747,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973529,0.26518148,0.357077,0.19281046,0.35054088,0.17516188,0.17867032,0.12848535,0.30409798,0.39852896,0.27996942,0.26849663,0.199533,0.08891426,0.12638508,0.28447717,0.047195204,0.039855734,0.06328747,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973531,0.28623945,0.35120127,0.19281046,0.35054088,0.17516188,0.17867032,0.12848535,0.30409798,0.39852896,0.27996942,0.26849663,0.199533,0.08891426,0.12638508,0.28447717,0.047195204,0.039855734,0.06328747,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973533,0.28623945,0.35120127,0.19281046,0.35054088,0.1844225,0.17545284,0.12848535,0.30409798,0.39852896,0.27996942,0.26849663,0.199533,0.08891426,0.12638508,0.28447717,0.047195204,0.039855734,0.06328747,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973535,0.28623945,0.35120127,0.19281046,0.35054088,0.1844225,0.17545284,0.12848535,0.30409798,0.39852896,0.27996942,0.26849663,0.199533,0.08891426,0.12638508,0.28447717,0.047195204,0.041894846,0.066991396,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973601,0.28623945,0.35120127,0.19281046,0.35054088,0.1844225,0.17545284,0.12848535,0.30409798,0.3677967,0.27837065,0.26849663,0.199533,0.08891426,0.12638508,0.28447717,0.047195204,0.041894846,0.066991396,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973602,0.28623945,0.35120127,0.19281046,0.35054088,0.1844225,0.17545284,0.12848535,0.30409798,0.3677967,0.27837065,0.26849663,0.199533,0.09176073,0.12623148,0.28447717,0.047195204,0.041894846,0.066991396,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973603,0.30518448,0.35343978,0.19281046,0.35054088,0.1844225,0.17545284,0.12848535,0.30409798,0.3677967,0.27837065,0.26849663,0.199533,0.09176073,0.12623148,0.28447717,0.047195204,0.041894846,0.066991396,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973604,0.30518448,0.35343978,0.19281046,0.35054088,0.19284007,0.17125037,0.12848535,0.30409798,0.3677967,0.27837065,0.26849663,0.199533,0.09176073,0.12623148,0.28447717,0.047195204,0.041894846,0.066991396,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973605,0.30518448,0.35343978,0.19281046,0.35054088,0.19284007,0.17125037,0.12848535,0.30409798,0.3677967,0.27837065,0.26849663,0.199533,0.09176073,0.12623148,0.28447717,0.047195204,0.04241804,0.07070774,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973714,0.30518448,0.35343978,0.19281046,0.35054088,0.19284007,0.17125037,0.12848535,0.30409798,0.35631597,0.2791452,0.26849663,0.199533,0.09176073,0.12623148,0.28447717,0.047195204,0.04241804,0.07070774,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973715,0.30518448,0.35343978,0.19281046,0.35054088,0.19284007,0.17125037,0.12848535,0.30409798,0.35631597,0.2791452,0.26849663,0.199533,0.08987541,0.12564686,0.28447717,0.047195204,0.04241804,0.07070774,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973716,0.31238803,0.35736728,0.19281046,0.35054088,0.19284007,0.17125037,0.12848535,0.30409798,0.35631597,0.2791452,0.26849663,0.199533,0.08987541,0.12564686,0.28447717,0.047195204,0.04241804,0.07070774,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973717,0.31238803,0.35736728,0.19281046,0.35054088,0.19999336,0.16468997,0.12848535,0.30409798,0.35631597,0.2791452,0.26849663,0.199533,0.08987541,0.12564686,0.28447717,0.047195204,0.04241804,0.07070774,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973718,0.31238803,0.35736728,0.19281046,0.35054088,0.19999336,0.16468997,0.12848535,0.30409798,0.35631597,0.2791452,0.26849663,0.199533,0.08987541,0.12564686,0.28447717,0.047195204,0.04142723,0.073150665,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973832,0.31238803,0.35736728,0.19281046,0.35054088,0.19999336,0.16468997,0.12848535,0.30409798,0.35083792,0.2864572,0.26849663,0.199533,0.08987541,0.12564686,0.28447717,0.047195204,0.04142723,0.073150665,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973833,0.31238803,0.35736728,0.19281046,0.35054088,0.19999336,0.16468997,0.12848535,0.30409798,0.35083792,0.2864572,0.26849663,0.199533,0.08724182,0.12395189,0.28447717,0.047195204,0.04142723,0.073150665,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973834,0.31674924,0.35844284,0.19281046,0.35054088,0.19999336,0.16468997,0.12848535,0.30409798,0.35083792,0.2864572,0.26849663,0.199533,0.08724182,0.12395189,0.28447717,0.047195204,0.04142723,0.073150665,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973835,0.31674924,0.35844284,0.19281046,0.35054088,0.20514105,0.15647474,0.12848535,0.30409798,0.35083792,0.2864572,0.26849663,0.199533,0.08724182,0.12395189,0.28447717,0.047195204,0.04142723,0.073150665,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973836,0.31674924,0.35844284,0.19281046,0.35054088,0.20514105,0.15647474,0.12848535,0.30409798,0.35083792,0.2864572,0.26849663,0.199533,0.08724182,0.12395189,0.28447717,0.047195204,0.040029977,0.07467332,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973905,0.31674924,0.35844284,0.19281046,0.35054088,0.20514105,0.15647474,0.12848535,0.30409798,0.35093075,0.29407027,0.26849663,0.199533,0.08724182,0.12395189,0.28447717,0.047195204,0.040029977,0.07467332,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973906,0.31674924,0.35844284,0.19281046,0.35054088,0.20514105,0.15647474,0.12848535,0.30409798,0.35093075,0.29407027,0.26849663,0.199533,0.08599605,0.12133636,0.28447717,0.047195204,0.040029977,0.07467332,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973907,0.31822485,0.35765526,0.19281046,0.35054088,0.20514105,0.15647474,0.12848535,0.30409798,0.35093075,0.29407027,0.26849663,0.199533,0.08599605,0.12133636,0.28447717,0.047195204,0.040029977,0.07467332,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973908,0.31822485,0.35765526,0.19281046,0.35054088,0.20624237,0.15038243,0.12848535,0.30409798,0.35093075,0.29407027,0.26849663,0.199533,0.08599605,0.12133636,0.28447717,0.047195204,0.040029977,0.07467332,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838973909,0.31822485,0.35765526,0.19281046,0.35054088,0.20624237,0.15038243,0.12848535,0.30409798,0.35093075,0.29407027,0.26849663,0.199533,0.08599605,0.12133636,0.28447717,0.047195204,0.03860599,0.07655569,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838974038,0.31822485,0.35765526,0.19281046,0.35054088,0.20624237,0.15038243,0.12848535,0.30409798,0.35324895,0.29618225,0.26849663,0.199533,0.08599605,0.12133636,0.28447717,0.047195204,0.03860599,0.07655569,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838974039,0.31822485,0.35765526,0.19281046,0.35054088,0.20624237,0.15038243,0.12848535,0.30409798,0.35324895,0.29618225,0.26849663,0.199533,0.08916789,0.11807131,0.28447717,0.047195204,0.03860599,0.07655569,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
1771838974040,0.31508362,0.35695356,0.19281046,0.35054088,0.20624237,0.15038243,0.12848535,0.30409798,0.35324895,0.29618225,0.26849663,0.199533,0.08916789,0.11807131,0.28447717,0.047195204,0.03860599,0.07655569,0.12573035,0.098632924,4.0,4.0,4.0,4.0,
