TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Horseshoe_TP9,Horseshoe_AF7,Horseshoe_AF8,Horseshoe_TP10,Marker
1771839522885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/music/start [The Roundabout.mp3]
1771839523014,0.27681547,0.52965444,0.19281046,0.19443324,0.18436871,0.25017616,0.12848535,0.31388244,0.28378373,0.15725337,0.26849663,0.14080375,0.13366172,0.04621401,0.28447717,0.14249173,0.12137035,0.016702013,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
1771839523121,0.27681547,0.52965444,0.19281046,0.19443324,0.18436871,0.25017616,0.12848535,0.31388244,0.28515634,0.15692689,0.26849663,0.14080375,0.13366172,0.04621401,0.28447717,0.14249173,0.12137035,0.016702013,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
1771839523122,0.27681547,0.52965444,0.19281046,0.19443324,0.18436871,0.25017616,0.12848535,0.31388244,0.28515634,0.15692689,0.26849663,0.14080375,0.12823975,0.04759406,0.28447717,0.14249173,0.12137035,0.016702013,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
1771839523122,0.27837393,0.5304239,0.19281046,0.19443324,0.18436871,0.25017616,0.12848535,0.31388244,0.28515634,0.15692689,0.26849663,0.14080375,0.12823975,0.04759406,0.28447717,0.14249173,0.12137035,0.016702013,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
1771839523123,0.27837393,0.5304239,0.19281046,0.19443324,0.19111933,0.24763802,0.12848535,0.31388244,0.28515634,0.15692689,0.26849663,0.14080375,0.12823975,0.04759406,0.28447717,0.14249173,0.12137035,0.016702013,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
1771839523124,0.27837393,0.5304239,0.19281046,0.19443324,0.19111933,0.24763802,0.12848535,0.31388244,0.28515634,0.15692689,0.26849663,0.14080375,0.12823975,0.04759406,0.28447717,0.14249173,0.11711064,0.017417133,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
1771839523207,0.27837393,0.5304239,0.19281046,0.19443324,0.19111933,0.24763802,0.12848535,0.31388244,0.2887269,0.15657729,0.26849663,0.20328529,0.12823975,0.04759406,0.28447717,0.14249173,0.11711064,0.017417133,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
1771839523208,0.27837393,0.5304239,0.19281046,0.19443324,0.19111933,0.24763802,0.12848535,0.31388244,0.2887269,0.15657729,0.26849663,0.20328529,0.1242552,0.049310274,0.28447717,0.12684956,0.11711064,0.017417133,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
1771839523209,0.27993324,0.5336876,0.19281046,0.1798768,0.19111933,0.24763802,0.12848535,0.31388244,0.2887269,0.15657729,0.26849663,0.20328529,0.1242552,0.049310274,0.28447717,0.12684956,0.11711064,0.017417133,0.12573035,0.20838884,4.0,4.0,4.0,4.0,
