TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Horseshoe_TP9,Horseshoe_AF7,Horseshoe_AF8,Horseshoe_TP10,Marker
1771838170351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/music/start [Karimych-Настроение.mp3]
1771838170413,0.3916915,0.31400222,0.2096028,0.51257426,0.23991355,0.10566401,0.18105835,0.1245969,0.2553261,0.44041935,0.36537224,0.17123362,0.057936817,0.09915509,0.19832087,0.079381846,0.05513203,0.04075934,0.04564573,0.11221337,4.0,4.0,4.0,4.0,
1771838170457,0.3916915,0.31400222,0.2096028,0.51257426,0.23991355,0.10566401,0.18105835,0.1245969,0.2622271,0.45085618,0.35667485,0.17123362,0.057936817,0.09915509,0.19832087,0.079381846,0.05513203,0.04075934,0.04564573,0.11221337,4.0,4.0,4.0,4.0,
1771838170457,0.3916915,0.31400222,0.2096028,0.51257426,0.23991355,0.10566401,0.18105835,0.1245969,0.2622271,0.45085618,0.35667485,0.17123362,0.055839755,0.09661613,0.19305666,0.079381846,0.05513203,0.04075934,0.04564573,0.11221337,4.0,4.0,4.0,4.0,
1771838170458,0.38242745,0.31017834,0.21741524,0.51257426,0.23991355,0.10566401,0.18105835,0.1245969,0.2622271,0.45085618,0.35667485,0.17123362,0.055839755,0.09661613,0.19305666,0.079381846,0.05513203,0.04075934,0.04564573,0.11221337,4.0,4.0,4.0,4.0,
1771838170458,0.38242745,0.31017834,0.21741524,0.51257426,0.24925412,0.10260855,0.18916735,0.1245969,0.2622271,0.45085618,0.35667485,0.17123362,0.055839755,0.09661613,0.19305666,0.079381846,0.05513203,0.04075934,0.04564573,0.11221337,4.0,4.0,4.0,4.0,
1771838170459,0.38242745,0.31017834,0.21741524,0.51257426,0.24925412,0.10260855,0.18916735,0.1245969,0.2622271,0.45085618,0.35667485,0.17123362,0.055839755,0.09661613,0.19305666,0.079381846,0.050251573,0.03974081,0.043685894,0.11221337,4.0,4.0,4.0,4.0,
1771838170561,0.38242745,0.31017834,0.21741524,0.51257426,0.24925412,0.10260855,0.18916735,0.1245969,0.27760756,0.4678906,0.35249045,0.17123362,0.055839755,0.09661613,0.19305666,0.079381846,0.050251573,0.03974081,0.043685894,0.11221337,4.0,4.0,4.0,4.0,
1771838170562,0.38242745,0.31017834,0.21741524,0.51257426,0.24925412,0.10260855,0.18916735,0.1245969,0.27760756,0.4678906,0.35249045,0.17123362,0.056079287,0.09168844,0.1862545,0.079381846,0.050251573,0.03974081,0.043685894,0.11221337,4.0,4.0,4.0,4.0,
1771838170562,0.36098155,0.3003146,0.22732067,0.51257426,0.24925412,0.10260855,0.18916735,0.1245969,0.27760756,0.4678906,0.35249045,0.17123362,0.056079287,0.09168844,0.1862545,0.079381846,0.050251573,0.03974081,0.043685894,0.11221337,4.0,4.0,4.0,4.0,
1771838170562,0.36098155,0.3003146,0.22732067,0.51257426,0.25696287,0.101513416,0.19014259,0.1245969,0.27760756,0.4678906,0.35249045,0.17123362,0.056079287,0.09168844,0.1862545,0.079381846,0.050251573,0.03974081,0.043685894,0.11221337,4.0,4.0,4.0,4.0,
1771838170563,0.36098155,0.3003146,0.22732067,0.51257426,0.25696287,0.101513416,0.19014259,0.1245969,0.27760756,0.4678906,0.35249045,0.17123362,0.056079287,0.09168844,0.1862545,0.079381846,0.048368707,0.038592946,0.043791793,0.11221337,4.0,4.0,4.0,4.0,
1771838170627,0.36098155,0.3003146,0.22732067,0.51257426,0.25696287,0.101513416,0.19014259,0.1245969,0.31850097,0.4735,0.34386763,0.17123362,0.056079287,0.09168844,0.1862545,0.079381846,0.048368707,0.038592946,0.043791793,0.11221337,4.0,4.0,4.0,4.0,
1771838170627,0.36098155,0.3003146,0.22732067,0.51257426,0.25696287,0.101513416,0.19014259,0.1245969,0.31850097,0.4735,0.34386763,0.17123362,0.05711122,0.08773658,0.17810598,0.079381846,0.048368707,0.038592946,0.043791793,0.11221337,4.0,4.0,4.0,4.0,
1771838170628,0.32515004,0.29512617,0.24401292,0.51257426,0.25696287,0.101513416,0.19014259,0.1245969,0.31850097,0.4735,0.34386763,0.17123362,0.05711122,0.08773658,0.17810598,0.079381846,0.048368707,0.038592946,0.043791793,0.11221337,4.0,4.0,4.0,4.0,
