TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Horseshoe_TP9,Horseshoe_AF7,Horseshoe_AF8,Horseshoe_TP10,Marker
1771838596496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/music/start [Сила зверя.mp3]
1771838596570,0.2786056,0.19284266,0.19281046,0.51257426,0.27753237,0.14564092,0.12848535,0.1245969,0.37010908,0.4568219,0.26849663,0.17123362,0.049502503,0.15159653,0.28447717,0.079381846,0.024250416,0.05309799,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838596634,0.2786056,0.19284266,0.19281046,0.51257426,0.27753237,0.14564092,0.12848535,0.1245969,0.35408434,0.45554614,0.26849663,0.17123362,0.049502503,0.15159653,0.28447717,0.079381846,0.024250416,0.05309799,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838596635,0.2786056,0.19284266,0.19281046,0.51257426,0.27753237,0.14564092,0.12848535,0.1245969,0.35408434,0.45554614,0.26849663,0.17123362,0.050017856,0.14972872,0.28447717,0.079381846,0.024250416,0.05309799,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838596635,0.29056278,0.19623059,0.19281046,0.51257426,0.27753237,0.14564092,0.12848535,0.1245969,0.35408434,0.45554614,0.26849663,0.17123362,0.050017856,0.14972872,0.28447717,0.079381846,0.024250416,0.05309799,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838596636,0.29056278,0.19623059,0.19281046,0.51257426,0.28113785,0.14627568,0.12848535,0.1245969,0.35408434,0.45554614,0.26849663,0.17123362,0.050017856,0.14972872,0.28447717,0.079381846,0.024250416,0.05309799,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838596636,0.29056278,0.19623059,0.19281046,0.51257426,0.28113785,0.14627568,0.12848535,0.1245969,0.35408434,0.45554614,0.26849663,0.17123362,0.050017856,0.14972872,0.28447717,0.079381846,0.024197178,0.05221887,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838596720,0.29056278,0.19623059,0.19281046,0.51257426,0.28113785,0.14627568,0.12848535,0.1245969,0.35617524,0.4483385,0.26849663,0.17123362,0.050017856,0.14972872,0.28447717,0.079381846,0.024197178,0.05221887,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838596721,0.29056278,0.19623059,0.19281046,0.51257426,0.28113785,0.14627568,0.12848535,0.1245969,0.35617524,0.4483385,0.26849663,0.17123362,0.046732932,0.14751947,0.28447717,0.079381846,0.024197178,0.05221887,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
1771838596722,0.29449728,0.20241721,0.19281046,0.51257426,0.28113785,0.14627568,0.12848535,0.1245969,0.35617524,0.4483385,0.26849663,0.17123362,0.046732932,0.14751947,0.28447717,0.079381846,0.024197178,0.05221887,0.12573035,0.11221337,4.0,4.0,4.0,4.0,
