TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Horseshoe_TP9,Horseshoe_AF7,Horseshoe_AF8,Horseshoe_TP10,Marker
1771839782141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/music/start [Солнце.mp3]
1771839782155,0.4859507,0.3154722,0.19281046,0.36258727,0.2974728,0.25127825,0.12848535,0.35818326,0.17870216,0.26602265,0.26849663,0.2015971,0.027996639,0.11960421,0.28447717,0.029124238,0.009877695,0.047622673,0.12573035,0.048508134,4.0,4.0,4.0,4.0,
1771839782261,0.4859507,0.3154722,0.19281046,0.36258727,0.2974728,0.25127825,0.12848535,0.35818326,0.19316547,0.27184007,0.26849663,0.2149487,0.027996639,0.11960421,0.28447717,0.029124238,0.009877695,0.047622673,0.12573035,0.048508134,4.0,4.0,4.0,4.0,
1771839782262,0.4859507,0.3154722,0.19281046,0.36258727,0.2974728,0.25127825,0.12848535,0.35818326,0.19316547,0.27184007,0.26849663,0.2149487,0.032598604,0.1309964,0.28447717,0.029585246,0.009877695,0.047622673,0.12573035,0.048508134,4.0,4.0,4.0,4.0,
1771839782262,0.4749948,0.3066146,0.19281046,0.35357735,0.2974728,0.25127825,0.12848535,0.35818326,0.19316547,0.27184007,0.26849663,0.2149487,0.032598604,0.1309964,0.28447717,0.029585246,0.009877695,0.047622673,0.12573035,0.048508134,4.0,4.0,4.0,4.0,
1771839782263,0.4749948,0.3066146,0.19281046,0.35357735,0.2878338,0.23814765,0.12848535,0.35109204,0.19316547,0.27184007,0.26849663,0.2149487,0.032598604,0.1309964,0.28447717,0.029585246,0.009877695,0.047622673,0.12573035,0.048508134,4.0,4.0,4.0,4.0,
1771839782263,0.4749948,0.3066146,0.19281046,0.35357735,0.2878338,0.23814765,0.12848535,0.35109204,0.19316547,0.27184007,0.26849663,0.2149487,0.032598604,0.1309964,0.28447717,0.029585246,0.011407324,0.052401274,0.12573035,0.050796673,4.0,4.0,4.0,4.0,
1771839782348,0.4749948,0.3066146,0.19281046,0.35357735,0.2878338,0.23814765,0.12848535,0.35109204,0.20172676,0.28930646,0.26849663,0.22740154,0.032598604,0.1309964,0.28447717,0.029585246,0.011407324,0.052401274,0.12573035,0.050796673,4.0,4.0,4.0,4.0,
1771839782349,0.4749948,0.3066146,0.19281046,0.35357735,0.2878338,0.23814765,0.12848535,0.35109204,0.20172676,0.28930646,0.26849663,0.22740154,0.03767123,0.14105673,0.28447717,0.029743297,0.011407324,0.052401274,0.12573035,0.050796673,4.0,4.0,4.0,4.0,
1771839782350,0.46384346,0.2891448,0.19281046,0.3429239,0.2878338,0.23814765,0.12848535,0.35109204,0.20172676,0.28930646,0.26849663,0.22740154,0.03767123,0.14105673,0.28447717,0.029743297,0.011407324,0.052401274,0.12573035,0.050796673,4.0,4.0,4.0,4.0,
1771839782351,0.46384346,0.2891448,0.19281046,0.3429239,0.28396782,0.22404237,0.12848535,0.34635982,0.20172676,0.28930646,0.26849663,0.22740154,0.03767123,0.14105673,0.28447717,0.029743297,0.011407324,0.052401274,0.12573035,0.050796673,4.0,4.0,4.0,4.0,
1771839782351,0.46384346,0.2891448,0.19281046,0.3429239,0.28396782,0.22404237,0.12848535,0.34635982,0.20172676,0.28930646,0.26849663,0.22740154,0.03767123,0.14105673,0.28447717,0.029743297,0.01279072,0.056449633,0.12573035,0.05357146,4.0,4.0,4.0,4.0,
1771839782438,0.46384346,0.2891448,0.19281046,0.3429239,0.28396782,0.22404237,0.12848535,0.34635982,0.2031481,0.3019102,0.26849663,0.23203598,0.03767123,0.14105673,0.28447717,0.029743297,0.01279072,0.056449633,0.12573035,0.05357146,4.0,4.0,4.0,4.0,
1771839782439,0.46384346,0.2891448,0.19281046,0.3429239,0.28396782,0.22404237,0.12848535,0.34635982,0.2031481,0.3019102,0.26849663,0.23203598,0.04223278,0.14956471,0.28447717,0.030233193,0.01279072,0.056449633,0.12573035,0.05357146,4.0,4.0,4.0,4.0,
1771839782440,0.4567818,0.27379677,0.19281046,0.33676594,0.28396782,0.22404237,0.12848535,0.34635982,0.2031481,0.3019102,0.26849663,0.23203598,0.04223278,0.14956471,0.28447717,0.030233193,0.01279072,0.056449633,0.12573035,0.05357146,4.0,4.0,4.0,4.0,
1771839782441,0.4567818,0.27379677,0.19281046,0.33676594,0.28399503,0.2145054,0.12848535,0.34298056,0.2031481,0.3019102,0.26849663,0.23203598,0.04223278,0.14956471,0.28447717,0.030233193,0.01279072,0.056449633,0.12573035,0.05357146,4.0,4.0,4.0,4.0,
